  00.        GENERAL
  25.55.Hp   Transfer reactions
  25.55.Kr   Charge-exchange reactions
  25.60.-t   Reactions induced by unstable nuclei
  25.60.Bx   Elastic scattering
  25.60.Dz   Interaction and reaction cross sections
  25.60.Gc   Breakup and momentum distributions
  25.60.Je   Transfer reactions
  25.60.Lg   Charge-exchange reactions
  25.60.Pj   Fusion reactions
  25.70.-z   Low and intermediate energy heavy-ion reactions
  25.70.Bc   Elastic and quasielastic scattering
  25.70.De   Coulomb excitation
  25.70.Ef   Resonances
  25.70.Gh   Compound nucleus
  25.70.Hi   Transfer reactions
  25.70.Jj   Fusion and fusion-fission reactions
  25.70.Kk   Charge-exchange reactions
  25.70.Lm   Strongly damped collisions
  25.70.Mn   Projectile and target fragmentation
  25.70.Pq   Multifragment emission and correlations
  25.75.-q   Relativistic heavy-ion collisions
  25.75.Dw   Particle and resonance production
  25.75.Gz   Particle correlations
  25.75.Ld   Collective flow
  25.75.Nq   Quark deconfinement, quark-gluon plasma production, and phase transitions
  25.80.-e   Meson- and hyperon-induced reactions
  25.80.Dj   Pion elastic scattering
  25.80.Ek   Pion inelastic scattering
  25.80.Gn   Pion charge-exchange reactions
  25.80.Hp   Pion-induced reactions
  25.80.Ls   Pion inclusive scattering and absorption
  25.80.Nv   Kaon-induced reactions
  25.80.Pw   Hyperon-induced reactions
  25.85.-w   Fission reactions
  25.85.Ca   Spontaneous fission
  25.85.Ec   Neutron-induced fission
  25.85.Ge   Charged-particle-induced fission
  25.85.Jg   Photofission
  25.90.+k   Other topics in nuclear reactions: specific reactions (restricted to new topics in section 25)
  26.        Nuclear astrophysics
  26.20.+f   Hydrostatic stellar nucleosynthesis
  26.30.+k   Nucleosynthesis in novae, supernovae and other explosive environments
  26.35.+c   Big Bang nucleosynthesis
  26.40.+r   Cosmic ray nucleosynthesis
  26.50.+x   Nuclear physics aspects of novae, supernovae, and other explosive environments
  26.60.+c   Nuclear matter aspects of neutron stars
  26.65.+t   Solar neutrinos
  27.        Properties of specific nuclei listed by mass ranges
  27.10.+h   A(less-than-or-equal-to)5
  27.20.+n   6(less-than-or-equal-to)A(less-than-or-equal-to)19
  27.30.+t   20(less-than-or-equal-to)A(less-than-or-equal-to)38
  27.40.+z   39(less-than-or-equal-to)A(less-than-or-equal-to)58
  27.50.+e   59(less-than-or-equal-to)A(less-than-or-equal-to)89
  27.60.+j   90(less-than-or-equal-to)A(less-than-or-equal-to)149
  27.70.+q   150(less-than-or-equal-to)A(less-than-or-equal-to)189
  27.80.+w   190(less-than-or-equal-to)A(less-than-or-equal-to)219
  27.90.+b   220(less-than-or-equal-to)A
  28.        Nuclear engineering and nuclear power studies
  28.20.-v   Neutron physics
  28.20.Cz   Neutron scattering
  28.20.Fc   Neutron absorption
  28.20.Gd   Neutron transport: diffusion and moderation
  28.41.-i   Fission reactors
  28.41.Ak   Theory, design, and computerized simulation
  28.41.Bm   Fuel elements, preparation, reloading, and reprocessing
  28.41.Fr   Reactor coolants, reactor cooling, and heat recovery
  28.41.Kw   Radioactive wastes, waste disposal
  28.41.My   Reactor control systems
  28.41.Pa   Moderators
  28.41.Qb   Structural and shielding materials
  28.41.Rc   Instrumentation
  28.41.Te   Protection systems, safety, radiation monitoring, accidents, and dismantling
  28.50.-k   Fission reactor types
  28.50.Dr   Research reactors
  28.50.Ft   Fast and breeder reactors
  28.50.Hw   Power and production reactors
  28.50.Ky   Propulsion reactors
  28.50.Ma   Auxiliary generators
  28.52.-s   Fusion reactors
  28.52.Av   Theory, design, and computerized simulation
  28.52.Cx   Fueling, heating and ignition
  28.52.Fa   Materials
  28.52.Lf   Components and instrumentation
  28.52.Nh   Safety
  28.60.+s   Isotope separation and enrichment
  28.70.+y   Nuclear explosions
  28.90.+i   Other topics in nuclear engineering and nuclear power studies (restricted to new topics in section 28)
  29.        Experimental methods and instrumentation for elementary-particle and nuclear physics
  29.17.+w   Electrostatic, collective, and linear accelerators
  29.20.-c   Cyclic accelerators and storage rings
  29.20.Dh   Storage rings
  29.20.Fj   Betatrons
  29.20.Hm   Cyclotrons
  29.20.Lq   Synchrotrons
  29.25.-t   Particle sources and targets
  29.25.Bx   Electron sources
  29.25.Dz   Neutron sources
  29.25.Lg   Ion sources: polarized
  29.25.Ni   Ion sources: positive and negative
  29.25.Pj   Polarized and other targets
  29.25.Rm   Sources of radioactive nuclei
  29.27.-a   Beams in particle accelerators
  29.27.Ac   Beam injection and extraction
  29.27.Bd   Beam dynamics; collective effects and instabilities
  29.27.Eg   Beam handling; beam transport
  29.27.Fh   Beam characteristics
  29.27.Hj   Polarized beams
  29.30.-h   Spectrometers and spectroscopic techniques
  29.30.Aj   Charged-particle spectrometers: electric and magnetic
  29.30.Dn   Electron spectroscopy
  29.30.Ep   Charged-particle spectroscopy
  29.30.Hs   Neutron spectroscopy
  29.30.Kv   X- and gamma-ray spectroscopy
  29.30.Lw   Nuclear orientation devices
  29.40.-n   Radiation detectors
  29.40.Cs   Gas-filled counters: ionization chambers, proportional, and avalanche counters
  29.40.Gx   Tracking and position-sensitive detectors
  29.40.Ka   Cherenkov detectors
  29.40.Mc   Scintillation detectors
  29.40.Rg   Nuclear emulsions
  29.40.Vj   Calorimeters
  29.40.Wk   Solid-state detectors
  29.50.+v   Computer interfaces
  29.85.+c   Computer data analysis
  29.90.+r   Other topics in elementary-particle and nuclear physics experimental methods and instrumentation (restricted to new topics in section 29)
  30.        ATOMIC AND MOLECULAR PHYSICS
  31.        Electronic structure of atoms and molecules: theory
  31.10.+z   Theory of electronic structure, electronic transitions, and chemical binding
  31.15.-p   Calculations and mathematical techniques in atomic and molecular physics (excluding electron correlation calculations)
  31.15.Ar   Ab initio calculations
  31.15.Bs   Statistical model calculations (including Thomas-Fermi and Thomas-Fermi-Dirac models)
  31.15.Ct   Semi-empirical and empirical calculations (differential overlap, H?ckel, PPP methods, etc.)
  31.15.Dv   Coupled-cluster theory
  31.15.Ew   Density-functional theory
  31.15.Fx   Finite-difference schemes
  31.15.Gy   Semiclassical methods
  31.15.Hz   Group theory
  31.15.Ja   Hyperspherical methods
  31.15.Kb   Path-integral methods
  31.15.Lc   Quasiparticle methods
  31.15.Md   Perturbation theory
  31.15.Ne   Self-consistent-field methods
  31.15.Pf   Variational techniques
  31.15.Qg   Molecular dynamics and other numerical methods
  31.15.Rh   Valence bond calculations
  31.25.-v   Electron correlation calculations for atoms and molecules
  31.25.Eb   Electron correlation calculations for atoms and ions: ground state
  31.25.Jf   Electron correlation calculations for atoms and ions: excited states
  31.25.Nj   Electron correlation calculations for diatomic molecules
  31.25.Qm   Electron correlation calculations for polyatomic molecules
  31.30.-i   Corrections to electronic structure
  31.30.Gs   Hyperfine interactions and isotope effects, Jahn-Teller effect
  31.30.Jv   Relativistic and quantum electrodynamic effects in atoms and molecules
  31.50.-x   Potential energy surfaces
  31.50.Bc   Potential energy surfaces for ground electronic states
  31.50.Df   Potential energy surfaces for excited electronic states
  31.50.Gh   Surface crossings, non-adiabatic couplings
  31.70.-f   Effects of atomic and molecular interactions on electronic structure
  31.70.Dk   Environmental and solvent effects
  31.70.Hq   Time-dependent phenomena: excitation and relaxation processes, and reaction rates
  31.70.Ks   Molecular solids
  31.90.+s   Other topics in the theory of the electronic structure of atoms and molecules (restricted to new topics in section 31)
  32.        Atomic properties and interactions with photons
  32.10.-f   Properties of atoms
  32.10.Bi   Atomic masses, mass spectra, abundances, and isotopes
  32.10.Dk   Electric and magnetic moments, polarizability
  32.10.Fn   Fine and hyperfine structure
  32.10.Hq   Ionization potentials, electron affinities
  32.30.-r   Atomic spectra
  32.30.Bv   Radio-frequency, microwave, and infrared spectra
  32.30.Dx   Magnetic resonance spectra
  32.30.Jc   Visible and ultraviolet spectra
  32.30.Rj   X-ray spectra
  32.50.+d   Fluorescence, phosphorescence (including quenching)
  32.60.+i   Zeeman and Stark effects
  32.70.-n   Intensities and shapes of atomic spectral lines
  32.70.Cs   Oscillator strengths, lifetimes, transition moments
  32.70.Fw   Absolute and relative intensities
  32.70.Jz   Line shapes, widths, and shifts
  32.80.-t   Photon interactions with atoms
  32.80.Bx   Level crossing and optical pumping
  32.80.Cy   Atomic scattering, cross sections, and form factors; Compton scattering
  32.80.Dz   Autoionization
  32.80.Fb   Photoionization of atoms and ions
  32.80.Gc   Photodetachment of atomic negative ions
  32.80.Hd   Auger effect and inner-shell excitation or ionization
  32.80.Lg   Mechanical effects of light on atoms, molecules, and ions
  32.80.Pj   Optical cooling of atoms; trapping
  32.80.Qk   Coherent control of atomic interactions with photons
  32.80.Rm   Multiphoton ionization and excitation to highly excited states (e.g., Rydberg states)
  32.80.Wr   Other multiphoton processes
  32.80.Ys   Weak-interaction effects in atoms
  32.90.+a   Other topics in atomic properties and interactions of atoms with photons (restricted to new topics in section 32)
  33.        Molecular properties and interactions with photons
  33.15.-e   Properties of molecules
  33.15.Bh   General molecular conformation and symmetry; stereochemistry
  33.15.Dj   Interatomic distances and angles
  33.15.Fm   Bond strengths, dissociation energies
  33.15.Hp   Barrier heights (internal rotation, inversion, rotational isomerism, conformational dynamics)
  33.15.Kr   Electric and magnetic moments (and derivatives), polarizability, and magnetic susceptibility
  33.15.Mt   Rotation, vibration, and vibration-rotation constants
  33.15.Pw   Fine and hyperfine structure
  33.15.Ry   Ionization potentials, electron affinities, molecular core binding energy
  33.15.Ta   Mass spectra
  33.15.Vb   Correlation times in molecular dynamics
  33.20.-t   Molecular spectra
  33.20.Bx   Radio-frequency and microwave spectra
  33.20.Ea   Infrared spectra
  33.20.Fb   Raman and Rayleigh spectra (including optical scattering)
  33.20.Kf   Visible spectra
  33.20.Lg   Ultraviolet spectra
  33.20.Ni   Vacuum ultraviolet spectra
  33.20.Rm   X-ray spectra
  33.20.Sn   Rotational analysis
  33.20.Tp   Vibrational analysis
  33.20.Vq   Vibration-rotation analysis
  33.20.Wr   Vibronic, rovibronic, and rotation-electron-spin interactions
  33.25.+k   Nuclear resonance and relaxation
  33.35.+r   Electron resonance and relaxation
  33.40.+f   Multiple resonances (including double and higher-order resonance processes, such as double nuclear magnetic resonance, electron double resonance, and microwave optical double resonance)
  33.45.+x   M?ssbauer spectra
  33.50.-j   Fluorescence and phosphorescence; radiationless transitions, quenching (intersystem crossing, internal conversion)
  33.50.Dq   Fluorescence and phosphorescence spectra
  33.50.Hv   Radiationless transitions, quenching
  33.55.-b   Optical activity and dichroism; magnetooptical and electrooptical spectra
  33.55.Ad   Optical activity, optical rotation; circular dichroism
  33.55.Be   Zeeman and Stark effects
  33.55.Fi   Other magnetooptical and electrooptical effects
  33.60.-q   Photoelectron spectra
  33.60.Cv   Ultraviolet and vacuum ultraviolet photoelectron spectra
  33.60.Fy   X-ray photoelectron spectra
  33.70.-w   Intensities and shapes of molecular spectral lines and bands
  33.70.Ca   Oscillator and band strengths, lifetimes, transition moments, and Franck-Condon factors
  33.70.Fd   Absolute and relative line and band intensities
  33.70.Jg   Line and band widths, shapes, and shifts
  33.80.-b   Photon interactions with molecules
  33.80.Be   Level crossing and optical pumping
  33.80.Eh   Autoionization, photoionization, and photodetachment
  33.80.Gj   Diffuse spectra; predissociation, photodissociation
  33.80.Ps   Optical cooling of molecules; trapping
  33.80.Rv   Multiphoton ionization and excitation to highly excited states (e.g., Rydberg states)
  33.80.Wz   Other multiphoton processes
  33.90.+h   Other topics in molecular properties and interactions with photons (restricted to new topics in section 33)
  34.        Atomic and molecular collision processes and interactions
  34.10.+x   General theories and models of atomic and molecular collisions and interactions (including statistical theories, transition state, stochastic and trajectory models, etc.)
  34.20.-b   Interatomic and intermolecular potentials and forces, potential energy surfaces for collisions
  34.20.Cf   Interatomic potentials and forces
  34.20.Gj   Intermolecular and atom-molecule potentials and forces
  34.20.Mq   Potential energy surfaces for collisions
  34.30.+h   Intramolecular energy transfer; intramolecular dynamics; dynamics of van der Waals molecules
  34.50.-s   Scattering of atoms and molecules
  34.50.Bw   Energy loss and stopping power
  34.50.Dy   Interactions of atoms and molecules with surfaces; photon and electron emission; neutralization of ions
  34.50.Ez   Rotational and vibrational energy transfer
  34.50.Fa   Electronic excitation and ionization of atoms (including beam-foil excitation and ionization)
  34.50.Gb   Electronic excitation and ionization of molecules; intermediate molecular states (including lifetimes, state mixing, etc.)
  34.50.Lf   Chemical reactions, energy disposal, and angular distribution, as studied by atomic and molecular beams
